,index,designation,distance,magnitude,absoluteMagnitude,scaledMagnitude,spectralType,spectralColor,colorIndex,xCoord,yCoord,zCoord,constellation,luminosity
53693,53693,4297.0,145.1379,6.35,0.541,0.19261,K,16623706,1.172,-135.050208,35.583174,-39.500333000000005,Crt,52.91758304203464
53704,53704,4286.0,89.3655,6.38,1.624,0.18178,A,13291261,0.16899999999999998,-38.671325,10.164292999999999,79.921334,UMa,19.516413002858265
53751,53751,61    Leo,179.2115,4.73,-1.537,0.21339,K,16623706,1.5930000000000002,-173.306253,44.958909999999996,-7.76892,Leo,358.75668303926176
53754,53754,Merak,24.4499,2.34,0.39899999999999997,0.19402999999999998,A,13291261,0.033,-13.103033,3.398358,20.360601000000003,UMa,60.31148196178175
53797,53797,GJ 1141B,41.2882,11.64,8.561,0.11241,M,16541255,1.454,-38.339219,9.85781,11.73215,Leo,0.0327793245300228
53798,53798,60    Leo,38.8651,4.42,1.472,0.1833,A,13291261,0.053,-35.330409,9.082879,13.407183999999999,Leo,22.449155075695895
53807,53807,4302.0,56.0852,6.21,2.4659999999999997,0.17336000000000001,A,13291261,0.307,-48.475043,12.444573,-25.315085,Hya,8.986694950475258
53829,53829,Gl 410,11.7716,9.57,9.216000000000001,0.10585999999999998,K,16623706,1.4369999999999998,-10.576702000000001,2.703881,4.403412,Leo,0.017930813770804414
53871,53871,4303.0,55.9284,6.12,2.3819999999999997,0.1742,F,16773591,0.26899999999999996,-54.217422,13.708459,-0.7343689999999999,Leo,9.709570065288242
53873,53873,4305.0,103.8422,5.51,0.428,0.19374,G,16702104,0.938,-98.72179399999999,24.958459,-20.353631,Crt,58.72188659713031
53874,53874,4307.0,214.1328,6.44,-0.213,0.20015,M,16541255,1.6159999999999999,-176.135199,44.513778,-113.34936299999998,Hya,105.97416418830973
53879,53879,Lalande 21185,2.5469,7.49,10.46,0.09341999999999999,M,16541255,1.5019999999999998,-1.998,0.504305,1.4955040000000002,UMa,0.005701642722807466
53892,53892,4308.0,165.5629,6.34,0.245,0.19557,G,16702104,0.86,-156.18205,39.22375,-38.466985,Crt,69.50243175887965
53893,53893,62    Leo,185.8736,5.95,-0.396,0.20198,K,16623706,1.218,-180.275484,45.273818,-0.002702,Leo,125.42958923023174
53905,53905,Dubhe,37.679,1.81,-1.07,0.20872,F,16773591,1.061,-17.298704999999998,4.33488,33.191332,UMa,233.3458062281002
53980,53980,51    UMa,78.8644,6.01,1.526,0.18276,A,13291261,0.165,-60.134917,14.848355999999999,48.815176,UMa,21.359938601897962
53981,53981,4311.0,87.6424,5.67,0.956,0.18846,A,13291261,0.256,-57.287428000000006,14.145370999999999,-64.80142099999999,Vel,36.107714510035294
54016,54016,4313.0,158.7302,5.43,-0.573,0.20375,A,13291261,0.021,-125.030674,30.65077,-92.861017,Ant,147.63862777538625
54024,54024,63Chi Leo,28.9939,4.62,2.3080000000000003,0.17493999999999998,F,16773591,0.332,-27.933018,6.832953999999999,3.702177,Leo,10.394413751488006
54027,54027,4316.0,149.7006,6.11,0.23399999999999999,0.19567999999999997,B,9214460,-0.019,-94.651179,23.131007,-113.65030300000001,Vel,70.21016602403145
54046,54046,Chi1Hya,43.2339,4.92,1.7409999999999999,0.18061,F,16773591,0.369,-37.332873,9.078033,-19.825004999999997,Hya,17.522658618857072
54052,54052,Gl 412A,4.848,8.82,10.392000000000001,0.09409999999999999,M,16541255,1.4909999999999999,-3.4164830000000004,0.8284860000000001,3.33921,UMa,0.006070158063410442
54056,54056,4315.0,59.7015,6.09,2.21,0.17592,F,16773591,0.301,-56.941972,13.784502,-11.482466,Crt,11.376272858234305
54069,54069,NN 3643,19.6464,12.37,10.904000000000002,0.08897999999999998,K,16623706,1.5719999999999998,-18.793974,4.536412,3.491211,,0.0037879130378515647
54097,54097,Chi2Hya,212.3142,5.69,-0.945,0.20747,B,9214460,-0.067,-183.465713,44.080514,-97.337937,Hya,207.9696687103696
54106,54106,4318.0,124.533,6.28,0.804,0.18997999999999998,G,16702104,0.943,-75.863401,18.179699,-97.071258,Cen,41.533640548907364
54131,54131,4326.0,134.5895,6.39,0.745,0.19057,A,13291261,0.114,-55.662893000000004,13.259692000000001,-121.820121,Car,43.85306977749856
54133,54133,4321.0,117.096,6.31,0.9670000000000001,0.18835,K,16623706,1.156,-71.755986,17.075309,-90.945062,Cen,35.743740626448066
